Legacy_Customer_ID,Age,Employment_Type,Education_Level,Annual_Income($),Credit_Score,Region,Account_Type,Customer_Feedback,CLV_Score,Complaint_Count,Contact_Preference,Subscription_Tier,Target
nan,35,Self-Employed,Master,8238.15,,Southwest,Checking,Excellent customer service experience,17.1,0,Text,Basic,0
nan,35,Freelancer,High School,5327.59,827.015439,Midwest,Checking,Loyalty program privileges are profitable,8.6,0,Phone,Basic,1
nan,28,Self-Employed,Associate,78780.2,803.283954,West Coast,Checking,Return process was difficult,30.2,1,Email,Basic,1
nan,50,Salaried,Bachelor,287709.86,756.5467717,Midwest,Savings,Delivery was deferred by 3 days,29.1,0,Email,Enterprise,0
nan,42,Salaried,Associate,59381.4,702.8462035,Midwest,Savings,Highly recommend this service to colleagues,48.7,0,Email,Premium,0
nan,61,Salaried,Master,4495.61,780.031483,Northeast,Savings,Delivery was pushed back by 3 days,5.7,0,Text,Enterprise,0
nan,28,Salaried,nan,21252.12,663.327018,West Coast,Checking,Product caliber outdid anticipations,23.7,1,App,Basic,0
nan,50,Self-Employed,High School,23864.88,773.8287658,Midwest,Savings,Highly recommend this service to colleagues,4.5,1,Email,Premium,1
nan,50,Self-Employed,Master,35043.28,766.3986769,West Coast,Checking,Website user experience needs improvement,5,1,Email,Basic,1
nan,50,Salaried,High School,3789.52,712.4327133,West Coast,Checking,Product caliber outdid anticipations,36.7,0,App,Basic,1
nan,61,Salaried,Associate,199983.71,776.9593157,Northeast,Joint,Technical support was negligent,30.7,1,Email,Premium,0
nan,50,Salaried,High School,61605.44,697.6389435,West Coast,Savings,Billing concerns caused frustration,16.3,0,Email,Basic,1
nan,,nan,High School,94476.41,656.7457201,Northeast,Joint,Highly recommend this service without hesitation,19.8,0,Email,Basic,1
nan,35,Self-Employed,Associate,5910.5,768.8982506,Southwest,Joint,Competitive pricing compared to others,22.6,0,Phone,Basic,0
nan,42,Unemployed,Associate,4728.96,715.7378535,Midwest,Savings,Product caliber transcended forecasts,6.6,1,Email,Premium,0
nan,28,Unemployed,PhD,75056.69,750.0890302,Northeast,Savings,Highly recommend this service,17.5,1,Email,Basic,0
nan,28,Self-Employed,Master,185554.19,811.0443296,Northeast,Joint,Product standard transcended predictions,16,1,Phone,Basic,0
nan,35,Freelancer,nan,63902.83,683.8872964,Midwest,Checking,Loyalty program privileges are worthwhile,46.2,1,Phone,Premium,0
nan,28,Salaried,Bachelor,178691.52,712.8310248,Northeast,Joint,Delivery was held up by 3 days,35,0,App,Premium,0
nan,35,Freelancer,High School,141606.78,798.4817252,West Coast,Savings,Technical support was unavailable,34.6,1,Email,Premium,0
nan,28,Salaried,,6705.22,753.4365865,Northeast,Checking,Website design needs improvement,17.8,2,Text,Basic,1
nan,28,Unemployed,Associate,19175.44,685.0108628,Northeast,Joint,Loyalty program incentives are useful,22.1,1,Email,Basic,0
ID_XXXX,,Salaried,Associate,91128.41,672.2491148,West Coast,Joint,Loyalty program advantages are worthwhile,18.6,1,Email,Premium,0
nan,28,Freelancer,Bachelor,49817.7,693.595968,Midwest,Joint,Billing challenges caused frustration,5.9,2,Email,Basic,0
ID_XXXX,50,Salaried,,29195.5,683.0792648,Northeast,Savings,Product caliber transcended predictions,16.6,0,Phone,Basic,0
nan,28,Unemployed,,46101.83,,Southwest,Joint,Highly recommend this service without hesitation,50,0,Text,Basic,1
nan,,Salaried,High School,50077.49,,Midwest,Savings,Return process was overly complex,29,1,Email,Basic,0
nan,61,Freelancer,High School,205198.55,733.9618877,Southwest,Checking,Highly recommend this service to colleagues,16.2,2,Text,Basic,0
