Legacy_Customer_ID,Age,Employment_Type,Education_Level,Annual_Income($),Credit_Score,Region,Account_Type,Customer_Feedback,CLV_Score,Complaint_Count,Contact_Preference,Subscription_Tier,Target
ID_0000,50,Freelancer,Bachelor,6680.38,672.384181,West Coast,Savings,Technical support was delayed affecting my schedule,38.6,0,Email,Enterprise,0
ID_0001,42,Self-Employed,Bachelor,257091.82,686.1502431,Northeast,Joint,Competitive pricing compared to others,34.4,1,Phone,Basic,1
ID_0002,61,Unemployed,Master,29989.03,681.3670277,Northeast,Joint,Technical support was delayed causing inconvenience,14.4,0,Email,Premium,1
ID_0003,28,Freelancer,Associate,8209.7,761.5095906,Northeast,Checking,Delivery was deferred by 3 days,9.9,1,Email,Basic,0
ID_0004,61,Self-Employed,High School,77681.93,765.0199294,Midwest,Savings,Website navigation needs improvement,,0,Phone,Premium,0
ID_0005,28,Unemployed,High School,83064.76,742.561266,Southwest,Checking,Loyalty program incentives are advantageous,25.9,2,Phone,Basic,0
ID_0006,35,Salaried,PhD,88872.54,779.1746833,Northeast,Savings,Product value beat anticipations,33.2,0,Email,Basic,0
ID_0007,28,Freelancer,PhD,26448.45,661.0979566,Midwest,Joint,Return process was problematic,14.8,0,Phone,Basic,1
ID_0008,50,Salaried,High School,1294.21,803.3612056,Northeast,Joint,Delivery was postponed by 3 days,22.3,0,Phone,Basic,1
ID_0009,42,Unemployed,Bachelor,284991.95,796.1619311,West Coast,Savings,Return process was difficult,3.7,2,Phone,Basic,1
ID_0010,35,Freelancer,Bachelor,24554.25,756.7810999,Midwest,Savings,Loyalty program perks are useful,21.8,2,Text,Basic,0
ID_0011,28,Unemployed,PhD,95802.9,809.0899454,Northeast,Joint,Product grade transcended forecasts,69.5,0,Email,Premium,1
ID_0012,61,Salaried,Master,104237.22,637.1688396,Midwest,Joint,Delivery was deferred by 3 days,10.5,0,App,Basic,1
ID_0013,35,Freelancer,High School,80038.34,693.7775932,Northeast,Checking,Loyalty program advantages are advantageous,49.5,1,Phone,Premium,0
ID_0014,35,Salaried,PhD,31899.33,683.234827,Southwest,Joint,Return process was confusing,25.1,0,Phone,Basic,0
ID_0015,28,Unemployed,PhD,26878.16,756.0739662,Northeast,Savings,Loyalty program perks are beneficial,27.6,0,Phone,Premium,0
ID_0016,35,Unemployed,High School,77390.66,667.492963,Midwest,Checking,Product standard transcended forecasts,9.9,0,Email,Basic,0
ID_0017,61,Salaried,High School,170903.5,757.8747575,West Coast,Savings,Delivery was deferred by 3 days,30.7,1,Email,Basic,0
ID_0018,35,Freelancer,Bachelor,249258.42,788.5268072,West Coast,Checking,Billing setbacks caused frustration,19.5,0,Phone,Basic,0
ID_0019,61,Salaried,Master,9515.25,754.760145,West Coast,Savings,Delivery was deferred by 3 days,26,0,Phone,Basic,0
ID_0020,28,Unemployed,Master,14298.35,734.1875512,Northeast,Joint,Loyalty program perks are useful,19.1,1,Phone,Premium,1
ID_0021,42,Salaried,High School,246129.25,670.606333,Southwest,Savings,Return process was overly complex,11.6,1,Email,Premium,0
ID_0022,35,Unemployed,Associate,113376.03,677.6574517,Northeast,Checking,Loyalty program rewards are beneficial,27.7,0,Email,Basic,0
ID_0023,42,Salaried,PhD,182369.93,782.4809453,West Coast,Savings,Technical support was delayed affecting my schedule,32.6,2,Email,Basic,0
ID_0024,61,Freelancer,PhD,19247.38,758.9674502,Midwest,Checking,Product value outstripped anticipations,19.8,0,Phone,Basic,0
ID_0025,35,Freelancer,High School,75286.82,718.049024,West Coast,Savings,Website design needs improvement,15,1,Email,Basic,1
ID_0026,50,Salaried,Associate,102661.19,699.1045227,Midwest,Joint,Return process was problematic,16.4,1,Phone,Premium,0
ID_0027,42,Salaried,Bachelor,96881.64,618.7096063,Southwest,,Loyalty program perks are profitable,41.6,0,Email,Basic,0
ID_0028,35,Freelancer,High School,44582.92,666.4573791,,Savings,Loyalty program privileges are profitable,30.3,0,Phone,Basic,0
ID_0029,42,Unemployed,High School,1318.74,815.5709544,Northeast,Savings,Product grade surpassed projections,32.8,1,Email,Basic,0
ID_0030,35,Freelancer,PhD,74331.8,655.9772214,Northeast,Savings,Delivery was late by 3 days affecting my schedule,36.9,3,Email,Basic,1
ID_0031,28,Unemployed,High School,24805.21,729.4739911,Northeast,,Loyalty program advantages are advantageous,4.9,3,Phone,Basic,0
ID_0032,42,Salaried,High School,50855.45,770.3721987,Midwest,Savings,Return process was difficult,11.4,1,Phone,Basic,0
ID_0033,50,Salaried,High School,268613.54,657.2538666,Northeast,,Website user experience needs improvement,54.2,0,Email,Basic,1
ID_0034,50,Unemployed,PhD,43283.62,729.2355237,,Checking,Loyalty program perks are useful,6.5,1,App,Basic,1
ID_0035,61,Salaried,Bachelor,155664.09,766.8957769,Northeast,Joint,Highly recommend this service to colleagues,19.3,0,Email,Basic,1
ID_0036,35,Unemployed,Bachelor,17758.28,720.6249661,Southwest,Savings,Billing setbacks caused frustration,44.8,1,Email,Premium,0
ID_0037,42,Self-Employed,High School,94872.46,863.4201528,Midwest,Savings,Technical support was delayed affecting my schedule,22.3,2,Email,Basic,0
ID_0038,61,Freelancer,PhD,320667.9,636.5700371,Midwest,Joint,Highly recommend this service,15.7,0,Email,Basic,1
ID_0039,42,Self-Employed,Bachelor,9134.62,772.9364265,West Coast,Joint,Delivery was deferred by 3 days,24.2,1,Email,Basic,0
ID_0040,35,,Bachelor,710.15,711.3599131,Midwest,Checking,Return process was overly complex,23.8,2,Email,Basic,0
ID_0041,50,Freelancer,Bachelor,48316.07,758.5960077,Southwest,Savings,Delivery was held up by 3 days,17.2,0,Phone,Basic,0
ID_0042,28,,PhD,8262,742.0653576,Midwest,Savings,Loyalty program perks are beneficial,2,1,Email,Premium,0
ID_0043,50,Freelancer,PhD,117287.47,683.3421901,Southwest,Checking,Loyalty program privileges are profitable,11.3,0,Phone,Premium,1
ID_0044,61,Freelancer,High School,209083.7,731.4498196,Southwest,Joint,Delivery was held up by 3 days,24.5,2,Email,Basic,0
ID_0045,28,Freelancer,Master,48381.85,627.1049274,Midwest,Checking,Technical support was ignoring,17.5,0,Email,Premium,1
ID_0046,61,Freelancer,Bachelor,25446.07,750.162375,West Coast,Joint,Website user experience needs improvement,41.2,1,Email,Basic,0
ID_0047,35,Unemployed,Master,48439.29,734.9079233,Northeast,Checking,Billing difficulties caused frustration,23.2,2,Phone,Basic,0
ID_0048,28,Freelancer,,109255.24,751.9330084,Northeast,Joint,Return process was overly complex,39.7,2,Phone,Enterprise,0
ID_0049,61,Freelancer,PhD,773.11,772.9059163,Midwest,Checking,Highly recommend this service,13.5,0,Text,Premium,0
ID_0050,35,Self-Employed,PhD,75672.72,738.380992,Midwest,Joint,Website user experience needs improvement,35.7,1,Email,Enterprise,1
ID_0051,50,Salaried,Master,80757.19,727.404471,Southwest,Joint,Website design needs improvement,10.7,0,Phone,Basic,1
ID_0052,35,Salaried,PhD,86296.27,675.9465832,Midwest,Joint,Return process was overly complex,22.2,0,Phone,Basic,1
ID_0053,42,Self-Employed,High School,23553.59,684.3889618,Southwest,Joint,Loyalty program perks are beneficial,45.6,0,Email,Basic,1
ID_0054,35,Self-Employed,PhD,106415.57,779.336731,West Coast,Joint,Technical support was ignoring,12.9,0,Email,Premium,0
ID_0055,35,Unemployed,Associate,8146.48,791.8167703,Midwest,Savings,Highly recommend this service to colleagues,33.9,0,Email,Basic,1
ID_0056,42,Unemployed,Master,18889.71,708.0944782,Northeast,Joint,Website user experience needs improvement,29.9,2,Phone,Premium,0
ID_0057,61,Unemployed,,178448.98,722.3001374,Northeast,Savings,Loyalty program privileges are profitable,13.9,0,Email,Basic,0
ID_0058,61,Self-Employed,PhD,114084.85,674.7692813,Midwest,Joint,Return process was difficult,40.6,2,Phone,Basic,0
ID_0059,35,,High School,1176.48,778.6378423,Southwest,Savings,Return process was confusing,26.6,0,Phone,Premium,0
ID_0060,42,Freelancer,Bachelor,24269.15,753.2708412,Northeast,Savings,Delivery was postponed by 3 days,46.8,0,Phone,Premium,0
ID_0061,42,Unemployed,PhD,20511.84,817.0608718,Southwest,Checking,Return process was convoluted,20.7,2,Email,Basic,0
ID_0062,50,Unemployed,High School,26844.35,676.0838461,Midwest,Joint,Delivery was late by 3 days affecting my schedule,59.5,1,Phone,Enterprise,1
ID_0063,61,Unemployed,Master,24176.87,701.099605,Midwest,Checking,Delivery was deferred by 3 days,61.6,1,Email,Basic,0
ID_0064,28,Salaried,Associate,5488.16,731.5722961,,Checking,Billing problems caused frustration that needs resolution,20.1,3,Email,Basic,0
ID_0065,61,Freelancer,Associate,52209.21,752.3244769,Midwest,Joint,Loyalty program privileges are advantageous,60.1,0,Phone,Premium,0
ID_0066,61,Unemployed,Associate,112158.26,709.2166181,West Coast,Checking,Loyalty program privileges are profitable,,2,Email,Enterprise,0
ID_0067,50,Unemployed,Master,79327.38,676.3519455,West Coast,Joint,Return process was difficult,5.8,1,Email,Premium,1
